appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,playtime_2weeks,has_leaderboards
516110,ToeJam & Earl: Back in the Groove,0,3743b40213477c5e902fabfb1493844877baf86e,0,0,0,0,0,,0,True,,
521880,RPG Maker VX,0,99917d9a05b7cbbf0ef110597bc81c0de4340000,0,0,0,0,0,,0,,,
526870,Satisfactory,0,ee3406fe5ec813b1987ad67e37e5cd6fb4f620e6,0,0,0,0,0,,0,True,,
530320,Wandersong,0,a7897f394ee223b6d9554160ee96ded613ddd674,0,0,0,0,0,,0,True,,
530930,Soulblight,0,97cac4cf7db8ae11dd2cf9f13e1ee893d701d89d,0,0,0,0,0,,0,True,,True
546430,Pathway,0,9ffd5f407ef365da34edc5a05eb64506955c6df5,0,0,0,0,0,,0,True,,
548430,Deep Rock Galactic,462,e033e23c29a192a17c16a7645a2b423ac64ff447,0,0,462,462,1726201335,[5],1024,True,,True
572890,Pikuniku,0,6160bb19bbf6e4d225d00fb0680176922070468a,0,0,0,0,0,,0,True,,
579720,Neverout,0,60a7a96fa0f4348574c0b5bd6cfc8276f53c496a,0,0,0,0,0,,0,,,
601360,Portal: Revolution,0,7afb1feec3db22a42a34ac59657a510647ff4b77,0,0,0,0,0,,0,True,,
607050,Wargroove,0,5d9f9be7eea6816578e46f07629a4dae8cec3b59,0,0,0,0,0,,0,True,,
610180,The Jackbox Party Pack 4,0,90a9ae59123b4c52b970f11b14eb655063b8dbf5,0,0,0,0,0,,0,True,,
622890,NecroWorm,0,2c74582b34a6a355fe7f3645b43809746bf636b6,0,0,0,0,0,,0,True,,
631770,Pixplode,0,27b4db719d167940f06626582a35d798a9dfadbc,0,0,0,0,0,,0,True,,
636070,Corridor Z,0,3c1df6cf972fc17f0c08782a5e42e94c3ec4446c,0,0,0,0,0,,0,True,,
392110,ENDLESS™ Space 2,0,0c827b1aec045d2a84898263400990561b6a3068,0,0,0,0,0,,0,True,,
645630,Car Mechanic Simulator 2018,0,f793ad58cbe121b079a40f9e560ad6d957ede22d,0,0,0,0,0,,0,True,,
646570,Slay the Spire,0,33ea124ea8c03a9ce7012d34c3b348a351612fca,0,0,0,0,0,,0,True,,True
218620,PAYDAY 2,0,a6abc0d0c1e79c0b5b0f5c8ab81ce9076a542414,0,0,0,0,0,,0,True,,
673190,All-Star Fruit Racing,63,f54b274f50c98103e840c79b8d60c9fac3361b26,24,0,38,38,1704258433,,0,True,,
323580,Jotun: Valhalla Edition,0,69b336a11a1e8acee4034b970a89c1df7cf53b32,0,0,0,0,0,,0,True,,
414340,Hellblade: Senua's Sacrifice,0,8a5d8f2d1cb52b21eaf4f6609592c6634731c962,0,0,0,0,0,"[2, 5]",0,True,,
747350,Hellblade: Senua's Sacrifice VR Edition,0,8a5d8f2d1cb52b21eaf4f6609592c6634731c962,0,0,0,0,0,"[2, 5]",0,True,,
701160,Kingdom Two Crowns,0,7bf44c4e301a0f6fae78f697b39b5a1268223945,0,0,0,0,0,,0,True,,
718650,Driftland: The Magic Revival,0,2c2e3e5f586255c829129fba3b1d76b0fbc20682,0,0,0,0,0,,0,True,,
723100,Orbital Racer,0,ea7f9efaa1e8d399430da8d4a40d77bee50f9901,0,0,0,0,0,,0,,,
748300,Treasure Hunter Simulator,0,9f7628639272a215819f5602b9b993b49fecf09f,0,0,0,0,0,,0,True,,
757310,Sable,0,99b24f25b351f471e84ac9f3a25498505b679695,0,0,0,0,0,,0,True,,
231430,Company of Heroes 2,0,5e7e1866fb4f33a17393b0441cd1c750dbd91c5f,0,0,0,0,0,,0,True,,
368230,Kingdom: Classic,0,0d741624c643448ff74741f50a4b80a24529b869,0,0,0,0,0,,0,True,,
767360,Monster League,97,543fcc67544a3f5e6b6a6fec4e51e011ee385275,97,0,0,0,1680479561,,0,,,
774461,The Jackbox Party Pack 5,37,aeb323dc48943fe83a588db94b2e9d48d4f2bdcd,37,0,0,0,1688175402,,0,True,,
785890,Hexologic,0,7bedc0ef6e2d0fba292e2cad90d0166fb670319c,0,0,0,0,0,,0,True,,
793460,112 Operator,0,c7969b412c7fb346e46e35c7478dc3f641863d09,0,0,0,0,0,,0,True,,
209670,Cortex Command,167,2976d0e44d338d1f6136d222d8b2a764a1dfee2e,167,0,0,0,1582249831,,0,True,,
464920,Surviving Mars,0,6c0bbf943ed725a16304161b89061ac1d37f6a2a,0,0,0,0,0,,0,True,,
803330,Destroy All Humans!,1154,f6679705155ed59580d9d6c9a8b13b577c9db776,1154,0,0,0,1640936549,"[2, 5]",0,True,,
813630,Supraland,0,e5def2d820a777ad0408249b8fa5deffae645d19,0,0,0,0,0,,0,True,,
834450,Roarr! Jurassic Edition,0,5f1ef6f31fff659a3e498bd3f5c051904871a745,0,0,0,0,0,,0,True,,
844260,Rustler,0,585b68bf670f80effae05a288145da2d99dd0898,0,0,0,0,0,"[2, 5]",0,True,,
846030,ΔV: Rings of Saturn,0,771dc9759f856ccd5f2949d74199b58388dd7d0c,0,0,0,0,0,,0,True,,True
847370,Sunset Overdrive,0,9870dc3dc81444a78503eecb9ca54a9628a836f5,0,0,0,0,0,"[2, 5]",0,True,,
867400,Out of Reach: Treasure Royale,0,1393ea8d87b141e680160efa0ec7f84298952934,0,0,0,0,0,"[2, 5]",0,True,,
870780,Control Ultimate Edition,0,3438e3a03c82194349d66f99ee642ba59cbcc3dc,0,0,0,0,0,"[2, 5]",0,True,,
871530,Radio Commander,0,e9a2b119142d817bbafb72dba14d03415463381a,0,0,0,0,0,[5],0,True,,
873940,Crying Suns,0,bc3c7526604677b0d84e7d320104798259d27dc7,0,0,0,0,0,,0,True,,
356190,Middle-earth™: Shadow of War™,0,316c479e5d51d21e15eb8f82338fce82c42c4115,0,0,0,0,0,"[2, 5]",0,True,,
714010,Aimlabs,17,15347de11efc127539c388e585af9e92d10d5189,0,0,17,17,1712435487,,0,True,,True
905340,Heave Ho,1115,40c4305497de0d0ea540632e82dac34987354be8,879,0,235,235,1722874920,,0,True,,
916100,Telefrag VR,0,0e9080705b6027e5086bc7e2286ca6c8185e81eb,0,0,0,0,0,"[2, 5]",0,True,,
304390,For Honor,0,64dd8eca34f0b5faeda135f057da1973806852f2,0,0,0,0,0,"[2, 5]",0,,,
654310,For Honor - Public Test,0,64dd8eca34f0b5faeda135f057da1973806852f2,0,0,0,0,0,"[2, 5]",0,,,
938560,INMOST,0,c6b45ebe82fe7eb161cc06d86fbc2316918e7182,0,0,0,0,0,,0,True,,
966330,Flower,0,1322a0a4ab88b0a748cbcb24f39c5f34aac93aa8,0,0,0,0,0,,0,True,,
990080,Hogwarts Legacy,156,a9ecb94f249768d0ee5ccecbffe8d8c06d9bed59,156,0,0,0,1678670837,,0,True,,
993090,Lossless Scaling,25,42900f430ed7828d2dfa25f07ac02e3de96bc520,25,0,0,0,1724103338,,0,,,
996580,Spyro™ Reignited Trilogy,395,58d9d5bb243382cdb00259733d71e7621f502a2d,395,0,0,0,1660247097,,0,True,,
449960,Book of Demons,0,d1984fec656bac08a20b4fdd9d6c9e272295c5d7,0,0,0,0,0,,0,True,,True
998740,Ring of Pain,0,ed6af653684527f88d189ad86ed958c106931d5b,0,0,0,0,0,,0,True,,
412020,Metro Exodus,0,f9863ed0ffc717b130744488f088ae95fe6e9bd8,0,0,0,0,0,"[2, 5]",0,True,,
1449560,Metro Exodus Enhanced Edition,0,f9863ed0ffc717b130744488f088ae95fe6e9bd8,0,0,0,0,0,,0,True,,
1005300,The Jackbox Party Pack 6,124,3714884d0e785cef24ab19d38d1fba62a3690e2e,124,0,0,0,1637888031,,0,True,,
1016790,West of Dead,0,5eb00dd429aa9345a0ce57632b9b37370580695e,0,0,0,0,0,,0,True,,
